feature_name,feature_family,data_type,description,imputation_strategy
hist_agency_cost_obs_count_3y_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_cost_overrun_count_3y_t,Agency Prior,int64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_agency_cost_overrun_rate_raw_3y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_cost_overrun_rate_smoothed_3y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Median / Global Prior
hist_agency_mean_cost_overrun_pct_3y_t,Agency Prior,float64,Point-in-time agency prior computed as-of prediction month t,Zero fill (0)
hist_sector_completed_count_lifetime_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_delay_count_lifetime_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_delay_rate_raw_lifetime_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Median / Global Prior
hist_sector_mean_delay_months_lifetime_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_median_delay_months_lifetime_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_cost_obs_count_lifetime_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_cost_overrun_count_lifetime_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_cost_overrun_rate_raw_lifetime_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Median / Global Prior
hist_sector_mean_cost_overrun_pct_lifetime_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_completed_count_5y_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_delay_count_5y_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_delay_rate_raw_5y_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Median / Global Prior
hist_sector_mean_delay_months_5y_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_median_delay_months_5y_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_cost_obs_count_5y_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_cost_overrun_count_5y_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_cost_overrun_rate_raw_5y_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Median / Global Prior
hist_sector_mean_cost_overrun_pct_5y_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_completed_count_3y_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_delay_count_3y_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_delay_rate_raw_3y_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Median / Global Prior
hist_sector_mean_delay_months_3y_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_median_delay_months_3y_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_cost_obs_count_3y_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_cost_overrun_count_3y_t,Sector Prior,int64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_sector_cost_overrun_rate_raw_3y_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Median / Global Prior
hist_sector_mean_cost_overrun_pct_3y_t,Sector Prior,float64,Point-in-time sector prior computed as-of prediction month t,Zero fill (0)
hist_linked_pre_paimana_observation_months_t,Linked Project History,float64,Point-in-time linked project history computed as-of prediction month t,Zero fill (0)
hist_linked_pre_paimana_schedule_revision_count_t,Linked Project History,float64,Point-in-time linked project history computed as-of prediction month t,Zero fill (0)
hist_linked_pre_paimana_cost_revision_count_t,Linked Project History,float64,Point-in-time linked project history computed as-of prediction month t,Zero fill (0)
hist_linked_pre_paimana_max_cost_escalation_pct_t,Linked Project History,float64,Point-in-time linked project history computed as-of prediction month t,Zero fill (0)
hist_linked_pre_paimana_max_schedule_slippage_months_t,Linked Project History,float64,Point-in-time linked project history computed as-of prediction month t,Zero fill (0)
