project_id,project_name,agency,state,prediction_month,evaluation_month,last_observed_month,original_completion_date,last_known_physical_progress,last_known_revised_completion_date,whether_in_completed_projects,whether_reappears_in_later_reports,suspected_exit_reason,confidence_or_evidence,final_resolution_status
13000,PADERU BYPASS (KM 0+000 TO KM 13+000) OF 2- LANE WITH PAVED SHOULDER ON NH-516E 3-2023 3/2024 {2/2026},MoRTH,ARUNACHAL PRADESH,2025-04,2025-07,2025-04,2024-03,,2026-02,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
132664,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH-365BG (KHAMMAM-DEVARAP 9-2021 9/2022,NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2022-09,73.89,2024-09,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
134950,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 134.95 TO KM 2-2021 7/2024 {3/2025},BRO,133.82 29.50 JAMMU AND KASHMIR,2025-04,2025-07,2025-04,2024-07,64.0,2025-03,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
14200,"CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER FROM (DESIGN CH. 14+200 TO 24+400), (DESIGN CH. 35+300 TO 6-2022 8/2025 {8/2025}",BRO,133.82 29.50 JAMMU AND KASHMIR,2025-04,2025-07,2025-04,2025-08,46.0,2025-08,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
14380,KARIMGANI - SUTARKANDI SECTION ON SILCHAR- CHURAIBARI PKG-7 2-2024 2/2027 {2/2027},NHIDCL,BIHAR CIVIL AVIATION,2025-04,2025-07,2025-04,2027-02,,2027-02,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-02', '2026-03', '2026-04']",temporary_reporting_omission
144020,STRENGTHENING OF EXISTING 4L AYODHYA BYPASS SECTION FROM DESIGN KM.121.600 TO KM. 144.020 OF NH 28 ( 2-2023 9/2025 {8/2025},NHAI,UTTAR PRADESH,2025-04,2025-07,2025-04,2025-09,83.0,2025-08,Yes,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
149476,REHABILITATION/UPGRADATION OF EXISTING HIGHWAY TO 2L+PS/4 LANE OF DHAWALI TO RAJOLI FROM DESIGN KM.1 3-2022 9/2025 {9/2025},MoRTH,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2025-09,,2025-09,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
150000,WIDENING AND STRENGTHENING/RECONSTRUC TION TO TWO LANE WITH PAVED SHOULDER/ TWO LANE WITH PAVED SHOUL 3-2022 8/2025 {8/2025},MoRTH,JHARKHAND COAL,2025-04,2025-07,2025-04,2025-08,,2025-08,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
151330,IMPROVEMENT/WIDENING TO 2- LANE WITH PAVED SHOULDER / 4-LANING FROM (DESIGN KM 63.530 TO KM 71.520) B 11-2020 12/2023 {11/2026},NHIDCL,MEGHALAYA,2025-04,2025-07,2025-04,2023-12,23.1,2026-11,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
15500,CONSTRUCTION OF 4-LANE PANCHGRAM BYPASS FROM DESIGN CHAINAGE KM 15+500 ON NH-37 (OLD NH-53) AT KALIN 3-2023 2/2027 {2/2027},NHIDCL,ASSAM,2025-04,2025-07,2025-04,2027-02,41.57,2027-02,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
159400,REHABILITATION AND UP- GRADATION TO 2 LANE WITH PAVED SHOULDER CONFIGURATION OF MAHUD SANGOLA ROAD NH 2-2023 4/2025 {4/2025},MoRTH,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2025-04,,2025-04,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
160000,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM AUDIREDDIPALLE 160.000 KM. TO MALLAPALLE 176.000 KM. PA 1-2023 11/2025 {11/2025},NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2025-11,35.54,2025-11,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
165500,2LPS OF CHAPRATHIPALEM TO LAMBASINGI SECTION OF NH 516E 8-2020 10/2024 {6/2025},MoRTH,ANDHRA PRADESH,2025-04,2025-07,2025-04,2024-10,72.0,2025-06,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
170700,NH-30-BHADRACHALAM TO KONTA SECTION 2LPS 12-2021 9/2024 {3/2025},MoRTH,ANDHRA PRADESH,2025-04,2025-07,2025-04,2024-09,80.0,2025-03,Yes,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
176000,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MALLAPALLE 176.000 KM. TO KAVULAKUNTLA 196.000 KM. PACK 2-2023 10/2025 {10/2025},NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2025-10,13.2,2025-10,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC) 9-2003 9/2010 {5/2026},NHPC,ARUNACHAL PRADESH,2025-04,2025-07,2025-04,2010-09,,2026-05,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
180100242,BARH STPP(3X660MW) NTPC 2-2005 10/2011,NTPC,BIHAR CIVIL AVIATION,2025-04,2025-07,2025-04,2011-10,,2023-07,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
188830,DELHI-AMRITSAR-KATRA EXPRESSWAY FROM JUNCTION WITH PATIALA-BATHINDA ROAD (NH-7) NEAR BHAWANIGARH TO 12-2020 4/2024,NHAI,PUNJAB,2025-04,2025-07,2025-04,2024-04,89.33,2024-07,Yes,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
19220,CONSTRUCTION OF NEW FOUR LANE BYPASS TO PARBHANI CITY (PARWA TO ASOLA) KM 463/265 TO KM 481/180 (DES 3-2022 10/2024 {10/2024},MoRTH,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2024-10,8.0,2024-10,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
20223,CONSTRUCTION OF NEW DOUBLE TIER 4L ELEVATED CORRIDOR FROM CHENNAI PORT TO MADURAVOYAL IN CHENNAI DIS 3-2023 5/2026 {5/2026},NHAI,TAMIL NADU CIVIL AVIATION,2025-04,2025-07,2025-04,2026-05,,2026-05,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
203500,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NARAYANMPET (CH. 203+500) TO CHANDRASEKHARPURAM (CH. 22 2-2024 2/2026 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2026-02,21.19,2026-02,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
220100181,AHMEDNAGAR-PARLI VAIJNATH(NL) CR 2-1997 3/2026 {1/2026},CR,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2026-03,94.0,2026-01,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
220100188,"NANGALDAM-TALWARA(NL),NR 3-1981 12/2025",NR,MULTI STATE COAL,2025-04,2025-07,2025-04,2025-12,75.0,2027-01,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
220100232,"LALITPUR-SATNA-REWA- SINGRULI NL, (NCR) 9-1998 3/2027 {3/2025}",WCR,MULTI STATE COAL,2025-04,2025-07,2025-04,2027-03,43.0,2025-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
220100257,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR) 4-1997 12/2024 {3/2027},ECR,BIHAR CIVIL AVIATION,2025-04,2025-07,2025-04,2024-12,52.0,2027-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
220100265,KOTLPALLI-NARASAPUR (NL) 12-2001 3/2028 {3/2027},SCR,ANDHRA PRADESH,2025-04,2025-07,2025-04,2028-03,18.0,2027-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
220100272,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER 4-2000 3/2019",ER,WEST BENGAL CIVIL AVIATION,2025-04,2025-07,2025-04,2019-03,75.0,2026-02,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
220100284,KHURDA ROAD- BOLANGIR(NL)ECOR 4-1994 12/2026,ECOR,ODISHA COAL,2025-04,2025-07,2025-04,2026-12,84.0,2026-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
220100303,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR 4-2003 12/2014 {12/2026}",ECR,BIHAR CIVIL AVIATION,2025-04,2025-07,2025-04,2014-12,73.0,2026-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
220100305,"KODERMA-TILAIYA (NL), ECR 4-2002 3/2023 {12/2025}",ECR,JHARKHAND COAL,2025-04,2025-07,2025-04,2023-03,80.0,2025-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
220100314,"RAMGANJMUNDI-BHOPAL (NL),WCR 4-2001 12/2025",WCR,MADHYA PRADESH,2025-04,2025-07,2025-04,2025-12,69.0,2025-12,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
220100328,TALCHER- BIMALAGARH(NL)(ECOR) 4-2005 3/2025 {3/2026},ECOR,ODISHA COAL,2025-04,2025-07,2025-04,2025-03,40.0,2026-03,No,No,focused_cohort_omission_no_reappearance,Project dropped during July-Nov 2025 transition and did not reappear in subsequent 2026 reports,probable_untracked_discontinuation
22700,PANCHARAL TO MANDANGHAR 7-2018 5/2020 {5/2020},MoRTH,532.88 100.00 MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,2025-04,2020-05,,2020-05,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
228000,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM CHANDRASEKHARAPURAM (CH. 228+000) TO POLAVARAM (CH. 260 2-2024 2/2026 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2026-02,13.1,2026-02,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
24000,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-I SPUR-I) FROM JN. WITH KAPURTHALA - SULTANPUR LODHI ROAD (NH 1-2020 4/2026 {4/2027},NHAI,RAJASTHAN CIVIL AVIATION,2025-04,2025-07,2025-04,2026-04,19.01,2027-04,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
242500,CHAMPAK NAGAR TO KHAYERPUR SECTION (DESIGN KM 242+500 TO KM 261+610),NHIDCL,TRIPURA,2025-04,2025-07,2025-04,2026-09,18.6,2026-09,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
24300,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM KODUR 0.000 KMS TO VANAVOLU 24.300 KMS OF NH 544G PACKA 12-2022 9/2025 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2025-09,54.23,2026-02,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
24320,CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER (PATTAN BYPASS) GREENFIELD BYPASS FROM EXISTING CH. KM 24 3-2023 7/2026 {7/2026},BRO,133.82 29.50 JAMMU AND KASHMIR,2025-04,2025-07,2025-04,2026-07,8.0,2026-07,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
244000,DORNALA TO KUNTA JUNCTION FROM DESIGN CHAINAGE KM 244+000 TO 267+990 SECTION OF NH-765 (PACKAGE-2) 12-2022 1/2024 {3/2026},MoRTH,ANDHRA PRADESH,2025-04,2025-07,2025-04,2024-01,74.0,2026-03,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
24700,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDERS OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADU 3-2023 9/2026 {9/2026},NHIDCL,MIZORAM,2025-04,2025-07,2025-04,2026-09,24.0,2026-09,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
249000,6L GREENFIELD KALIAGURA ? BAUNSAGUAR SECTION OF NH- 130-CD ROAD FROM KM 249+000 TO KM 293+000 (PACKAG 9-2021 5/2024 {10/2025},NHAI,ODISHA COAL,2025-04,2025-07,2025-04,2024-05,83.99,2025-10,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
260000,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM POLAVARAM (CH. 260+000) TO MARRIPUDI (CH. 285+500) OF [ 2-2024 2/2026 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2026-02,28.1,2026-02,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
260860,DELHI-AMRITSAR-KATRA EXPRESSWAY FROM JUNCTION WITH LUDHIANA-MOGA ROAD (NH-5) NEAR MULLANPUR DAKHA TO 12-2020 4/2024,NHAI,PUNJAB,2025-04,2025-07,2025-04,2024-04,57.84,2025-09,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
262175,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM TAPHOU KUKI TO DAILI SECTI 8-2020 4/2022,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2022-04,67.72,2025-06,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
263800,SILCHAR VAIRENGTE SAIRANG ROAD PKG-1 2-2023 7/2026 {7/2026},NHIDCL,ASSAM,2025-04,2025-07,2025-04,2026-07,36.05,2026-07,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
26400,CONSTRUCTION OF MANGALDOI BYPASS (NH-15) STARTING AT CH 26+400 AND TERMINATING AT CH 41+505 UNDER RA 3-2022 4/2025 {4/2025},MoRTH,ASSAM,2025-04,2025-07,2025-04,2025-04,31.23,2025-04,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
27300,FOUR LANNING OF BADARPUR BYPASS FROM DESIGN CHAINAGE KM 27+300 AT CROSSING WITH NH-6 2-2023 8/2026 {8/2026},NHIDCL,ASSAM,2025-04,2025-07,2025-04,2026-08,51.88,2026-08,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
285500,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MARRIPUDI (CH. 285+500) TO SOMAVARAPPADU (CH. 314+600) 2-2024 2/2026 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2026-02,37.9,2026-02,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
293000,6L GREENFIELD BAUNSAGUAR - BARAJA SECTION OF NH-130-CD ROAD FROM KM 293+000 TO KM 338+500 (PACKAGE ? 8-2021 6/2024 {12/2025},NHAI,ODISHA COAL,2025-04,2025-07,2025-04,2024-06,87.92,2025-12,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
297700,SENAPATI- IMPHAL PKG-5B 3-2021 1/2023,NHIDCL,MANIPUR,2025-04,2025-07,2025-04,2023-01,68.65,2025-05,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
298500,SIX LANING FROM START OF VALANCHERY BYPASS TO KAPPIRIKKAD-SECTION OF NH- 66(OLD NH-17) FROM DESIGN CH 2-2021 7/2024,NHAI,KERALA,2025-04,2025-07,2025-04,2024-07,98.3,2025-03,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
33604,KHAMMAM-DEVARAPALLE PKG I [4L ACCESS CONTROLLED (GREENFIELD) FROM THALLAMPADU VILLAGE TO SOMAVARAM 8-2022 10/2024 {10/2024},NHAI,TELANGANA COAL,2025-04,2025-07,2025-04,2024-10,75.21,2024-10,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
342500,6L GREENFIELD KANDILI - ALURU SECTION OF NH-130-CD ROAD FROM KM 342+500 TO KM 365+033 (PACKAGE-OD-8 12-2021 10/2024 {12/2025},NHAI,ODISHA COAL,2025-04,2025-07,2025-04,2024-10,76.49,2025-12,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
343240,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM SOMAVARAPPADU (CH.314.600) TO MUPPAVARAM (CH.343+240) O 2-2024 2/2026 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,2025-04,2026-02,12.04,2026-02,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2026-01', '2026-02', '2026-03']",temporary_reporting_omission
34795,WIDENING TO 2 LANE WITH HARD SHOULDER OF AKEGWO- AVANGKHU SECTION OF NH- 202K FOR PACKAGE-I (DESIGN CH 12-2022 2/2026 {2/2026},NHIDCL,ODISHA COAL,2025-04,2025-07,2025-04,2026-02,49.95,2026-02,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
362420,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-XII) FROM JUNCTION WITH AMRITSAR-MEHTA- SRIHARGOBINDPUR- 2-2021 4/2024,NHAI,PUNJAB,2025-04,2025-07,2025-04,2024-04,15.33,2025-12,No,Yes,focused_cohort_omission_reappears_later,"Project omitted during July-Nov 2025 focused cohort (~800 projects) but reappears in later reports: ['2025-12', '2026-01', '2026-02']",temporary_reporting_omission
