project_id,project_name,agency,state,prediction_month,evaluation_month,physical_progress_t,expenditure_ratio_pct_t,divergence_spread_t,schedule_slippage_months_t,months_since_last_progress_increase_t,s_stag,s_vel,s_sched,s_div,s_rep,flag_stag,flag_vel,flag_sched,flag_div,flag_rep,total_stress_flags,index_rule_based,index_equal_weighted,execution_stress_index,split
134950,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 134.95 TO KM 2-2021 7/2024 {3/2025},BRO,JAMMU AND KASHMIR,2025-04,2025-07,64.0,35.526881720430104,-28.473118279569896,8.0,0,0.0,1.0,0.2833,0.0,0.1,0,1,1,0,0,2,0.4,0.2767,0.3025,TRAIN
14200,"CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER FROM (DESIGN CH. 14+200 TO 24+400), (DESIGN CH. 35+300 TO 6-2022 8/2025 {8/2025}",BRO,JAMMU AND KASHMIR,2025-04,2025-07,46.0,27.62732858912394,-18.37267141087606,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
14380,KARIMGANI - SUTARKANDI SECTION ON SILCHAR- CHURAIBARI PKG-7 2-2024 2/2027 {2/2027},NHIDCL,BIHAR CIVIL AVIATION,2025-04,2025-07,,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.4,0,1,0,0,1,2,0.4,0.28,0.29,TRAIN
144020,STRENGTHENING OF EXISTING 4L AYODHYA BYPASS SECTION FROM DESIGN KM.121.600 TO KM. 144.020 OF NH 28 ( 2-2023 9/2025 {8/2025},NHAI,UTTAR PRADESH,2025-04,2025-07,83.0,43.379238294234966,-39.620761705765034,-1.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
149476,REHABILITATION/UPGRADATION OF EXISTING HIGHWAY TO 2L+PS/4 LANE OF DHAWALI TO RAJOLI FROM DESIGN KM.1 3-2022 9/2025 {9/2025},MoRTH,MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.4,0,1,0,0,1,2,0.4,0.28,0.29,TRAIN
150000,WIDENING AND STRENGTHENING/RECONSTRUC TION TO TWO LANE WITH PAVED SHOULDER/ TWO LANE WITH PAVED SHOUL 3-2022 8/2025 {8/2025},MoRTH,JHARKHAND COAL,2025-04,2025-07,,0.0259936669974951,0.0259936669974951,0.0,0,0.0,1.0,0.0,0.0003,0.4,0,1,0,0,1,2,0.4,0.2801,0.2901,TRAIN
151330,IMPROVEMENT/WIDENING TO 2- LANE WITH PAVED SHOULDER / 4-LANING FROM (DESIGN KM 63.530 TO KM 71.520) B 11-2020 12/2023 {11/2026},NHIDCL,MEGHALAYA,2025-04,2025-07,23.1,35.51247317124662,12.412473171246617,35.0,0,0.0,1.0,0.85,0.1655,0.1,0,1,1,0,0,2,0.4,0.4231,0.4206,TRAIN
15500,CONSTRUCTION OF 4-LANE PANCHGRAM BYPASS FROM DESIGN CHAINAGE KM 15+500 ON NH-37 (OLD NH-53) AT KALIN 3-2023 2/2027 {2/2027},NHIDCL,ASSAM,2025-04,2025-07,41.57,38.39115464285224,-3.1788453571477575,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
159400,REHABILITATION AND UP- GRADATION TO 2 LANE WITH PAVED SHOULDER CONFIGURATION OF MAHUD SANGOLA ROAD NH 2-2023 4/2025 {4/2025},MoRTH,MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.4,0,1,0,0,1,2,0.4,0.28,0.29,TRAIN
160000,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM AUDIREDDIPALLE 160.000 KM. TO MALLAPALLE 176.000 KM. PA 1-2023 11/2025 {11/2025},NHAI,ANDHRA PRADESH,2025-04,2025-07,35.54,18.438722362833897,-17.101277637166103,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
165500,2LPS OF CHAPRATHIPALEM TO LAMBASINGI SECTION OF NH 516E 8-2020 10/2024 {6/2025},MoRTH,ANDHRA PRADESH,2025-04,2025-07,72.0,27.45646166698798,-44.54353833301202,8.0,0,0.0,1.0,0.2333,0.0,0.1,0,1,0,0,0,1,0.2,0.2667,0.295,TRAIN
170700,NH-30-BHADRACHALAM TO KONTA SECTION 2LPS 12-2021 9/2024 {3/2025},MoRTH,ANDHRA PRADESH,2025-04,2025-07,80.0,40.97913611689949,-39.02086388310051,6.0,0,0.0,1.0,0.2167,0.0,0.1,0,1,1,0,0,2,0.4,0.2633,0.2925,TRAIN
176000,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MALLAPALLE 176.000 KM. TO KAVULAKUNTLA 196.000 KM. PACK 2-2023 10/2025 {10/2025},NHAI,ANDHRA PRADESH,2025-04,2025-07,13.2,14.082198411476094,0.8821984114760948,0.0,0,0.0,1.0,0.0,0.0118,0.1,0,1,0,0,0,1,0.2,0.2224,0.2624,TRAIN
180100210,PARBATI HEP (4X200 MW) (NHPC) II 9-2002 9/2009,NHPC,HIMACHAL PRADESH,2025-04,2025-07,,,0.0,187.0,0,0.0,1.0,1.0,0.0,0.4,0,1,1,0,1,3,0.6,0.48,0.44,TRAIN
180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC) 9-2003 9/2010 {5/2026},NHPC,ARUNACHAL PRADESH,2025-04,2025-07,,,0.0,188.0,0,0.0,1.0,1.0,0.0,0.4,0,1,1,0,1,3,0.6,0.48,0.44,TRAIN
180100242,BARH STPP(3X660MW) NTPC 2-2005 10/2011,NTPC,BIHAR CIVIL AVIATION,2025-04,2025-07,,,0.0,141.0,0,0.0,1.0,1.0,0.0,0.4,0,1,1,0,1,3,0.6,0.48,0.44,TRAIN
188830,DELHI-AMRITSAR-KATRA EXPRESSWAY FROM JUNCTION WITH PATIALA-BATHINDA ROAD (NH-7) NEAR BHAWANIGARH TO 12-2020 4/2024,NHAI,PUNJAB,2025-04,2025-07,89.33,100.20771850170264,10.877718501702645,3.0,0,0.0,1.0,0.25,0.145,0.1,0,1,1,0,0,2,0.4,0.299,0.3265,TRAIN
19220,CONSTRUCTION OF NEW FOUR LANE BYPASS TO PARBHANI CITY (PARWA TO ASOLA) KM 463/265 TO KM 481/180 (DES 3-2022 10/2024 {10/2024},MoRTH,MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,8.0,0.0,-8.0,0.0,0,0.0,1.0,0.1,0.0,0.1,0,1,0,0,0,1,0.2,0.24,0.275,TRAIN
20223,CONSTRUCTION OF NEW DOUBLE TIER 4L ELEVATED CORRIDOR FROM CHENNAI PORT TO MADURAVOYAL IN CHENNAI DIS 3-2023 5/2026 {5/2026},NHAI,TAMIL NADU CIVIL AVIATION,2025-04,2025-07,,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.4,0,1,0,0,1,2,0.4,0.28,0.29,TRAIN
203500,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NARAYANMPET (CH. 203+500) TO CHANDRASEKHARPURAM (CH. 22 2-2024 2/2026 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,21.19,11.241796327704447,-9.948203672295554,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
220100181,AHMEDNAGAR-PARLI VAIJNATH(NL) CR 2-1997 3/2026 {1/2026},CR,MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,94.0,96.36493473222156,2.364934732221556,-2.0,0,0.0,1.0,0.0,0.0315,0.1,0,1,0,0,0,1,0.2,0.2263,0.2663,TRAIN
220100188,"NANGALDAM-TALWARA(NL),NR 3-1981 12/2025",NR,MULTI STATE COAL,2025-04,2025-07,75.0,261.8640132669984,186.86401326699843,13.0,0,0.0,1.0,0.2167,1.0,0.1,0,1,1,1,0,3,0.6,0.4633,0.4925,TRAIN
220100232,"LALITPUR-SATNA-REWA- SINGRULI NL, (NCR) 9-1998 3/2027 {3/2025}",WCR,MULTI STATE COAL,2025-04,2025-07,43.0,3964.196948246028,3921.196948246028,-24.0,0,0.0,1.0,0.0,1.0,0.1,0,1,0,1,0,2,0.4,0.42,0.46,TRAIN
220100257,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR) 4-1997 12/2024 {3/2027},ECR,BIHAR CIVIL AVIATION,2025-04,2025-07,52.0,77.23492554316867,25.23492554316867,27.0,0,0.0,1.0,0.5167,0.3365,0.1,0,1,1,1,0,3,0.6,0.3906,0.4048,TRAIN
220100265,KOTLPALLI-NARASAPUR (NL) 12-2001 3/2028 {3/2027},SCR,ANDHRA PRADESH,2025-04,2025-07,18.0,45.63970923398028,27.639709233980277,-12.0,0,0.0,1.0,0.0,0.3685,0.1,0,1,0,1,0,2,0.4,0.2937,0.3337,TRAIN
220100272,"TARAKESWAR - BISHNUPUR NEW BG LINE (NL), ER 4-2000 3/2019",ER,WEST BENGAL CIVIL AVIATION,2025-04,2025-07,75.0,48.30260717369671,-26.697392826303293,83.0,0,0.0,1.0,1.0,0.0,0.1,0,1,1,0,0,2,0.4,0.42,0.41,TRAIN
220100284,KHURDA ROAD- BOLANGIR(NL)ECOR 4-1994 12/2026,ECOR,ODISHA COAL,2025-04,2025-07,84.0,123.7094043242274,39.70940432422741,0.0,0,0.0,1.0,0.0,0.5295,0.1,0,1,0,1,0,2,0.4,0.3259,0.3659,TRAIN
220100303,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR 4-2003 12/2014 {12/2026}",ECR,BIHAR CIVIL AVIATION,2025-04,2025-07,73.0,109.93360033726812,36.93360033726812,144.0,0,0.0,1.0,1.0,0.4924,0.1,0,1,1,1,0,3,0.6,0.5185,0.5085,TRAIN
220100305,"KODERMA-TILAIYA (NL), ECR 4-2002 3/2023 {12/2025}",ECR,JHARKHAND COAL,2025-04,2025-07,80.0,123.06949510108436,43.06949510108436,33.0,0,0.0,1.0,0.95,0.5743,0.1,0,1,1,1,0,3,0.6,0.5249,0.5174,TRAIN
220100314,"RAMGANJMUNDI-BHOPAL (NL),WCR 4-2001 12/2025",WCR,MADHYA PRADESH,2025-04,2025-07,69.0,112.9083318493896,43.9083318493896,0.0,0,0.0,1.0,0.0,0.5854,0.1,0,1,0,1,0,2,0.4,0.3371,0.3771,TRAIN
220100328,TALCHER- BIMALAGARH(NL)(ECOR) 4-2005 3/2025 {3/2026},ECOR,ODISHA COAL,2025-04,2025-07,40.0,87.47452115327764,47.474521153277635,12.0,0,0.0,1.0,0.2167,0.633,0.1,0,1,1,1,0,3,0.6,0.3899,0.4191,TRAIN
22700,PANCHARAL TO MANDANGHAR 7-2018 5/2020 {5/2020},MoRTH,MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,,15.119205298013243,15.119205298013243,0.0,0,0.0,1.0,0.4,0.2016,0.4,0,1,1,0,1,3,0.6,0.4003,0.3903,TRAIN
228000,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM CHANDRASEKHARAPURAM (CH. 228+000) TO POLAVARAM (CH. 260 2-2024 2/2026 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,13.1,10.448303871891076,-2.6516961281089237,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
24000,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-I SPUR-I) FROM JN. WITH KAPURTHALA - SULTANPUR LODHI ROAD (NH 1-2020 4/2026 {4/2027},NHAI,RAJASTHAN CIVIL AVIATION,2025-04,2025-07,19.01,7.714192025789408,-11.295807974210593,12.0,0,0.0,1.0,0.2,0.0,0.1,0,1,1,0,0,2,0.4,0.26,0.29,TRAIN
242500,CHAMPAK NAGAR TO KHAYERPUR SECTION (DESIGN KM 242+500 TO KM 261+610),NHIDCL,TRIPURA,2025-04,2025-07,18.6,6.90265678969435,-11.69734321030565,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
24300,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM KODUR 0.000 KMS TO VANAVOLU 24.300 KMS OF NH 544G PACKA 12-2022 9/2025 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,54.23,26.14739194251539,-28.082608057484606,5.0,0,0.0,1.0,0.0833,0.0,0.1,0,1,0,0,0,1,0.2,0.2367,0.2725,TRAIN
24320,CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER (PATTAN BYPASS) GREENFIELD BYPASS FROM EXISTING CH. KM 24 3-2023 7/2026 {7/2026},BRO,JAMMU AND KASHMIR,2025-04,2025-07,8.0,30.60772691566093,22.60772691566093,0.0,0,0.0,1.0,0.0,0.3014,0.1,0,1,0,0,0,1,0.2,0.2803,0.3203,TRAIN
244000,DORNALA TO KUNTA JUNCTION FROM DESIGN CHAINAGE KM 244+000 TO 267+990 SECTION OF NH-765 (PACKAGE-2) 12-2022 1/2024 {3/2026},MoRTH,ANDHRA PRADESH,2025-04,2025-07,74.0,42.609157374504754,-31.390842625495246,26.0,0,0.0,1.0,0.6833,0.0,0.1,0,1,1,0,0,2,0.4,0.3567,0.3625,TRAIN
24700,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDERS OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADU 3-2023 9/2026 {9/2026},NHIDCL,MIZORAM,2025-04,2025-07,24.0,52.94232683828759,28.942326838287592,0.0,0,0.0,1.0,0.0,0.3859,0.1,0,1,0,1,0,2,0.4,0.2972,0.3372,TRAIN
249000,6L GREENFIELD KALIAGURA ? BAUNSAGUAR SECTION OF NH- 130-CD ROAD FROM KM 249+000 TO KM 293+000 (PACKAG 9-2021 5/2024 {10/2025},NHAI,ODISHA COAL,2025-04,2025-07,83.99,69.38235294117646,-14.607647058823531,17.0,0,0.0,1.0,0.4667,0.0,0.1,0,1,1,0,0,2,0.4,0.3133,0.33,TRAIN
260000,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM POLAVARAM (CH. 260+000) TO MARRIPUDI (CH. 285+500) OF [ 2-2024 2/2026 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,28.1,15.830534330714984,-12.269465669285017,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
260860,DELHI-AMRITSAR-KATRA EXPRESSWAY FROM JUNCTION WITH LUDHIANA-MOGA ROAD (NH-5) NEAR MULLANPUR DAKHA TO 12-2020 4/2024,NHAI,PUNJAB,2025-04,2025-07,57.84,64.18907971484121,6.34907971484121,17.0,0,0.0,1.0,0.4833,0.0847,0.1,0,1,1,0,0,2,0.4,0.3336,0.3494,TRAIN
262175,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM TAPHOU KUKI TO DAILI SECTI 8-2020 4/2022,NHIDCL,MANIPUR,2025-04,2025-07,67.72,56.65146682832969,-11.06853317167031,38.0,0,0.0,1.0,1.0,0.0,0.1,0,1,1,0,0,2,0.4,0.42,0.41,TRAIN
263800,SILCHAR VAIRENGTE SAIRANG ROAD PKG-1 2-2023 7/2026 {7/2026},NHIDCL,ASSAM,2025-04,2025-07,36.05,41.43686848595752,5.386868485957521,0.0,0,0.0,1.0,0.0,0.0718,0.1,0,1,0,0,0,1,0.2,0.2344,0.2744,TRAIN
26400,CONSTRUCTION OF MANGALDOI BYPASS (NH-15) STARTING AT CH 26+400 AND TERMINATING AT CH 41+505 UNDER RA 3-2022 4/2025 {4/2025},MoRTH,ASSAM,2025-04,2025-07,31.23,19.107339775339703,-12.122660224660297,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
27300,FOUR LANNING OF BADARPUR BYPASS FROM DESIGN CHAINAGE KM 27+300 AT CROSSING WITH NH-6 2-2023 8/2026 {8/2026},NHIDCL,ASSAM,2025-04,2025-07,51.88,49.306934141329705,-2.5730658586702972,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
285500,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MARRIPUDI (CH. 285+500) TO SOMAVARAPPADU (CH. 314+600) 2-2024 2/2026 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,37.9,20.17820565342073,-17.72179434657927,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
293000,6L GREENFIELD BAUNSAGUAR - BARAJA SECTION OF NH-130-CD ROAD FROM KM 293+000 TO KM 338+500 (PACKAGE ? 8-2021 6/2024 {12/2025},NHAI,ODISHA COAL,2025-04,2025-07,87.92,64.92739726027398,-22.992602739726024,18.0,0,0.0,1.0,0.4667,0.0,0.1,0,1,1,0,0,2,0.4,0.3133,0.33,TRAIN
297700,SENAPATI- IMPHAL PKG-5B 3-2021 1/2023,NHIDCL,MANIPUR,2025-04,2025-07,68.65,39.57959376476146,-29.070406235238544,28.0,0,0.0,1.0,0.8667,0.0,0.1,0,1,1,0,0,2,0.4,0.3933,0.39,TRAIN
298500,SIX LANING FROM START OF VALANCHERY BYPASS TO KAPPIRIKKAD-SECTION OF NH- 66(OLD NH-17) FROM DESIGN CH 2-2021 7/2024,NHAI,KERALA,2025-04,2025-07,98.3,61.49024468694349,-36.809755313056506,8.0,0,0.0,1.0,0.2833,0.0,0.1,0,1,1,0,0,2,0.4,0.2767,0.3025,TRAIN
33604,KHAMMAM-DEVARAPALLE PKG I [4L ACCESS CONTROLLED (GREENFIELD) FROM THALLAMPADU VILLAGE TO SOMAVARAM 8-2022 10/2024 {10/2024},NHAI,TELANGANA COAL,2025-04,2025-07,75.21,66.70163577728562,-8.508364222714377,0.0,0,0.0,1.0,0.1,0.0,0.1,0,1,0,0,0,1,0.2,0.24,0.275,TRAIN
342500,6L GREENFIELD KANDILI - ALURU SECTION OF NH-130-CD ROAD FROM KM 342+500 TO KM 365+033 (PACKAGE-OD-8 12-2021 10/2024 {12/2025},NHAI,ODISHA COAL,2025-04,2025-07,76.49,67.07663316582914,-9.413366834170859,14.0,0,0.0,1.0,0.3333,0.0,0.1,0,1,1,0,0,2,0.4,0.2867,0.31,TRAIN
343240,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM SOMAVARAPPADU (CH.314.600) TO MUPPAVARAM (CH.343+240) O 2-2024 2/2026 {2/2026},NHAI,ANDHRA PRADESH,2025-04,2025-07,12.04,12.095408056962196,0.05540805696219664,0.0,0,0.0,1.0,0.0,0.0007,0.1,0,1,0,0,0,1,0.2,0.2201,0.2601,TRAIN
34795,WIDENING TO 2 LANE WITH HARD SHOULDER OF AKEGWO- AVANGKHU SECTION OF NH- 202K FOR PACKAGE-I (DESIGN CH 12-2022 2/2026 {2/2026},NHIDCL,ODISHA COAL,2025-04,2025-07,49.95,21.43919672740796,-28.510803272592042,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
362420,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-XII) FROM JUNCTION WITH AMRITSAR-MEHTA- SRIHARGOBINDPUR- 2-2021 4/2024,NHAI,PUNJAB,2025-04,2025-07,15.33,15.57880186491109,0.24880186491109058,20.0,0,0.0,1.0,0.5333,0.0033,0.1,0,1,1,0,0,2,0.4,0.3273,0.3407,TRAIN
372000,REHABILITATION AND UP- GRADATION OF MUDKHED TO NANDED SECTION FROM KM. 372+000 TO KM 388+400 OF NH 16 8-2022 4/2025 {4/2025},MoRTH,MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,,10.341822407281882,10.341822407281882,0.0,0,0.0,1.0,0.0,0.1379,0.4,0,1,0,0,1,2,0.4,0.3076,0.3176,TRAIN
37352,UPGRADATION OF TWO LANE PAVED SHOULDER FROM SHAHPURA TO THANAGAZI OF NH-248A ON EPC MODE IN THE STAT 3-2022 7/2024 {6/2025},MoRTH,RAJASTHAN CIVIL AVIATION,2025-04,2025-07,88.0,63.714580704370775,-24.285419295629225,11.0,0,0.0,1.0,0.3333,0.0,0.1,0,1,1,0,0,2,0.4,0.2867,0.31,TRAIN
37900,REHABILITATION AND UP- GRADATION OF SABALKHED TO ASHTI SECTION FROM KM 37+900 TO KM 55+100 AND CHINCH 12-2022 9/2024 {9/2024},MoRTH,MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,34.0,9.375585974123384,-24.624414025876618,0.0,0,0.0,1.0,0.1167,0.0,0.1,0,1,1,0,0,2,0.4,0.2433,0.2775,TRAIN
38770,"IMPROVEMENT , UP-GRADATION OF NH-734 SECTION OF MORADABAD - THAKURDWARA - KASHIPUR: ?PACKAGE-I: MORA 10-2022 9/2025 {9/2025}",NHAI,UTTAR PRADESH,2025-04,2025-07,48.05,20.864641243919387,-27.18535875608061,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
40000,PANGO TO JORGING ROAD PKG- 1 1-2024 7/2027 {7/2027} 12-2016 3/2021,NHIDCL,ASSAM,2025-04,2025-07,1.97,0.7882519288791903,-1.1817480711208097,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
400005,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B 7-2022 6/2023 {9/2025},PGCIL,MULTI STATE COAL,2025-04,2025-07,91.0,61.266843515329086,-29.733156484670914,27.0,0,0.0,1.0,0.8167,0.0,0.1,0,1,1,0,0,2,0.4,0.3833,0.3825,TRAIN
400018,HURA C OC 8-2022 3/2029 {3/2029},ECL,JHARKHAND COAL,2025-04,2025-07,62.0,51.54466436276051,-10.455335637239493,0.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
400019,DHULE (BORVIHIR)-NARDANA 1-2019 12/2026 {3/2028},UMBRELLA WORK,MAHARASHTRA CIVIL AVIATION,2025-04,2025-07,5.0,17.09505690299312,12.095056902993122,15.0,0,0.0,1.0,0.25,0.1613,0.1,0,1,1,0,0,2,0.4,0.3023,0.3298,TRAIN
400022,TARANGA HILL ABU ROAD VIA AMBAJI NEW LINE 7-2022 7/2030 {12/2026},NWR,GUJARAT CIVIL AVIATION,2025-04,2025-07,11.0,36.47754238499586,25.477542384995857,-43.0,0,0.0,1.0,0.0,0.3397,0.1,0,1,0,1,0,2,0.4,0.2879,0.3279,TRAIN
400023,HASSAN (ALUR) - BELUR (32 KM) (UMBRELLA WORK PB#23/2018- 19/NR) 6-2019 4/2028 {3/2028},SWR,KARNATAKA CIVIL AVIATION,2025-04,2025-07,1.0,0.1175135207317887,-0.8824864792682113,-1.0,0,0.0,1.0,0.0,0.0,0.1,0,1,0,0,0,1,0.2,0.22,0.26,TRAIN
