project_id,legacy_ocms_code,agency,sector,cluster_id,cluster_label,distance_to_centroid,is_outlier
19220,N24001882,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.5114,0
20223,N24002110,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.8095,0
220100181,220100181,CR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,4.7305,0
220100188,220100188,NR,RAILWAYS,3,Mega Capital High-Value Infrastructure,9.5619,1
220100232,220100232,WCR,RAILWAYS,3,Mega Capital High-Value Infrastructure,5.5815,1
220100257,220100257,ECR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,6.2755,0
220100265,220100265,SCR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,3.6948,0
220100272,220100272,ER,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,3.3585,0
220100284,220100284,ECOR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,5.7103,0
220100303,220100303,ECR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,1.4869,0
220100305,220100305,ECR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,4.4269,0
220100314,220100314,WCR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,4.8195,0
220100328,220100328,ECOR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,7.8356,1
22700,N24001107,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.2492,0
24000,N24002102,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.485,0
24300,N24001841,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.4986,0
249000,N24001667,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.2486,0
260860,N24001417,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.0519,0
262175,N24001274,NHIDCL,ROAD TRANSPORT & HIGHWAYS,0,High Administrative Cost-Revision Volatility,1.222,0
26400,N24001840,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.7131,0
293000,N24001678,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.8935,0
297700,N24001400,NHIDCL,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.1098,0
298500,N24001659,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.7814,0
33604,N24001482,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.4631,0
342500,N24001665,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.9711,0
34795,N24001976,NHIDCL,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.5296,0
362420,N24001420,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.8652,0
372000,N24001903,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.0825,0
37352,N24001867,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.2415,0
37900,N24001902,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.1206,0
38770,N24002093,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.1646,0
400005,N18000337,PGCIL,POWER,1,Standard Rapid-Execution / Linear Infrastructure,2.0283,0
400010,N04000078,AAI,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,1.1308,0
400019,N22000514,UMBRELLA WORK,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,1.3509,0
400022,N22000592,NWR,RAILWAYS,3,Mega Capital High-Value Infrastructure,1.7997,0
400023,N22000558,SWR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.561,0
400033,N06000254,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.6526,0
400035,N16000495,Indian Oil Corporation Limited [IOCL],OTHER CENTRAL SECTOR,1,Standard Rapid-Execution / Linear Infrastructure,0.7126,0
400043,N16000455,CHENNAI,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,0.4551,0
400073,N06000245,CCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.7862,0
400074,N06000246,CCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.1177,0
400077,N16000438,IOCL,PETROLEUM & NATURAL GAS,0,High Administrative Cost-Revision Volatility,1.3468,0
400078,N16000435,IOCL,PETROLEUM & NATURAL GAS,3,Mega Capital High-Value Infrastructure,2.1096,0
400087,N16000431,ONGC,PETROLEUM & NATURAL GAS,1,Standard Rapid-Execution / Linear Infrastructure,0.6327,0
400119,N16000213,ONGC,PETROLEUM & NATURAL GAS,3,Mega Capital High-Value Infrastructure,2.0327,0
400120,N16000247,ONGC,PETROLEUM & NATURAL GAS,3,Mega Capital High-Value Infrastructure,2.5684,0
400138,N06000238,CCL,COAL,3,Mega Capital High-Value Infrastructure,2.2356,0
400139,N06000237,CCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,2.1137,0
400141,N10000010,NALCO,COAL,3,Mega Capital High-Value Infrastructure,1.2508,0
400142,N06000193,NLC,COAL,3,Mega Capital High-Value Infrastructure,2.7983,0
400144,N06000199,SECL,COAL,3,Mega Capital High-Value Infrastructure,1.4855,0
400148,N06000148,SECL,COAL,0,High Administrative Cost-Revision Volatility,1.6479,0
400149,N06000197,SECL,COAL,3,Mega Capital High-Value Infrastructure,1.0363,0
400150,N06000216,CCL,COAL,3,Mega Capital High-Value Infrastructure,2.3127,0
400151,N06000218,CCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.1871,0
400152,N06000233,SECL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.1647,0
400153,N06000243,CCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.7245,0
400154,N06000242,CCL,COAL,0,High Administrative Cost-Revision Volatility,1.5777,0
400155,N06000247,CCL,COAL,3,Mega Capital High-Value Infrastructure,1.6358,0
400156,N06000217,CCL,COAL,3,Mega Capital High-Value Infrastructure,1.4942,0
400160,N06000087,CCL,COAL,2,Severe Legacy Stagnation & Chronic Slippage,2.894,0
400162,N06000184,NCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.2224,0
400165,N06000249,MCL,COAL,3,Mega Capital High-Value Infrastructure,1.4576,0
400166,N06000113,MCL,COAL,3,Mega Capital High-Value Infrastructure,1.5426,0
400167,N16000279,ONGC,PETROLEUM & NATURAL GAS,3,Mega Capital High-Value Infrastructure,2.2909,0
400168,N16000430,GAIL,PETROLEUM & NATURAL GAS,3,Mega Capital High-Value Infrastructure,1.8078,0
400169,N16000428,ONGC,PETROLEUM & NATURAL GAS,0,High Administrative Cost-Revision Volatility,1.4665,0
400171,N16000402,HPCL,PETROLEUM & NATURAL GAS,0,High Administrative Cost-Revision Volatility,1.9546,0
400172,N06000169,ECL,COAL,0,High Administrative Cost-Revision Volatility,1.5756,0
400173,N06000236,ECL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.7512,0
400174,N12000095,SAIL,COAL,3,Mega Capital High-Value Infrastructure,2.3426,0
400177,N06000132,WCL,COAL,3,Mega Capital High-Value Infrastructure,2.1738,0
400178,N06000222,8.0 MTY,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,1.0687,0
400180,N06000244,ECL,COAL,0,High Administrative Cost-Revision Volatility,1.476,0
400181,N06000170,ECL,COAL,3,Mega Capital High-Value Infrastructure,2.0905,0
400182,N06000165,ECL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,2.0194,0
400183,N06000230,MCL,COAL,3,Mega Capital High-Value Infrastructure,1.5744,0
400185,N06000229,MCL,COAL,3,Mega Capital High-Value Infrastructure,1.4604,0
400187,N06000167,MCL,COAL,3,Mega Capital High-Value Infrastructure,1.0677,0
400204,N22000569,NER,RAILWAYS,3,Mega Capital High-Value Infrastructure,1.8839,0
400205,N22000565,NER,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,2.0367,0
400220,N22000489,IRCON,COAL,3,Mega Capital High-Value Infrastructure,0.832,0
400223,N22000626,SR,RAILWAYS,3,Mega Capital High-Value Infrastructure,3.4485,0
400231,N06000270,NLC,COAL,3,Mega Capital High-Value Infrastructure,2.8401,0
400232,N22000521,ECOR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,3.5714,1
400247,N22000624,ER,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.8052,0
400253,N22000409,RVNL,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,6.8009,0
400259,N06000152,NLC,OTHER CENTRAL SECTOR,3,Mega Capital High-Value Infrastructure,1.9306,0
400261,N18000275,NTPC,POWER,3,Mega Capital High-Value Infrastructure,1.8322,0
400271,N22000231,CR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,2.5039,0
400275,N22000085,SR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,3.0718,0
400277,N22000110,MTP,CIVIL AVIATION,3,Mega Capital High-Value Infrastructure,2.9284,0
400280,N22000028,MRTP,CIVIL AVIATION,3,Mega Capital High-Value Infrastructure,3.6678,0
400291,N22000318,ECOR,RAILWAYS,3,Mega Capital High-Value Infrastructure,2.0223,0
400298,N22000286,SCR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,3.6806,0
400299,N10000016,NALCO,COAL,1,Standard Rapid-Execution / Linear Infrastructure,2.5158,1
400301,N16000234,BPCL,PETROLEUM & NATURAL GAS,0,High Administrative Cost-Revision Volatility,2.3252,0
400312,N06000223,5.00 MTY,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,1.6068,0
400313,N06000163,ECL,COAL,3,Mega Capital High-Value Infrastructure,2.0354,0
400315,N06000220,ECL,COAL,3,Mega Capital High-Value Infrastructure,1.5002,0
400321,N06000196,NCL,COAL,3,Mega Capital High-Value Infrastructure,1.7863,0
400352,N06000240,CCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.9968,0
400353,N06000209,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.8877,0
400354,N06000200,SECL,COAL,3,Mega Capital High-Value Infrastructure,1.2409,0
400369,N06000192,NCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.8276,0
400392,N06000171,MCL,COAL,3,Mega Capital High-Value Infrastructure,1.2721,0
400425,N06000098,BCCL,COAL,3,Mega Capital High-Value Infrastructure,2.6056,0
40380,N24001919,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.1354,0
40430,N24001375,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.1665,0
42250,N24001925,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.5346,0
423500,N24001551,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.6977,0
43060,N24001441,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.8121,0
45700,N24001843,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.5546,0
468100,N24001552,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.8671,0
503500,N24001550,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.0879,0
50500,N24001963,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.7645,0
50600,N24001926,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.69,0
50860,N24002106,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.8079,0
51700,N24001394,NHIDCL,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.6353,0
52000,N24001338,NHIDCL,ROAD TRANSPORT & HIGHWAYS,0,High Administrative Cost-Revision Volatility,1.5408,0
55937,N24001123,MoRTH,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.3858,0
59000,N24001438,NHIDCL,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.2437,0
602098,N28000130,CPWD EDUCATION,OTHER CENTRAL SECTOR,1,Standard Rapid-Execution / Linear Infrastructure,1.9708,0
602099,N42000008,CPWD EDUCATION,OTHER CENTRAL SECTOR,1,Standard Rapid-Execution / Linear Infrastructure,0.8474,0
602181,N18000325,NHPC,POWER,3,Mega Capital High-Value Infrastructure,1.7688,0
602182,N18000362,NHPC,POWER,3,Mega Capital High-Value Infrastructure,2.5163,0
602184,N18000178,National Thermal Power Corporation [NTPC],OTHER CENTRAL SECTOR,3,Mega Capital High-Value Infrastructure,2.1256,0
602185,N18000014,4X130MW,OTHER CENTRAL SECTOR,3,Mega Capital High-Value Infrastructure,2.1699,0
602193,N18000010,THDCIL,OTHER CENTRAL SECTOR,0,High Administrative Cost-Revision Volatility,2.1647,0
602195,N18000042,THDCIL,OTHER CENTRAL SECTOR,3,Mega Capital High-Value Infrastructure,2.7105,0
602223,N18000249,PGCIL,POWER,3,Mega Capital High-Value Infrastructure,1.5595,0
602525,N18000172,CVPPPL,OTHER CENTRAL SECTOR,3,Mega Capital High-Value Infrastructure,1.7805,0
602532,N18000278,CVPPPL,OTHER CENTRAL SECTOR,3,Mega Capital High-Value Infrastructure,1.6087,0
602535,N18000324,NHPC,POWER,3,Mega Capital High-Value Infrastructure,1.7549,0
602579,N18000194,SJVN,POWER,3,Mega Capital High-Value Infrastructure,2.6995,0
602582,N18000291,SJVN,POWER,0,High Administrative Cost-Revision Volatility,1.5636,0
602593,N18000279,SJVN,POWER,3,Mega Capital High-Value Infrastructure,1.668,0
602792,N22000572,SECR,RAILWAYS,3,Mega Capital High-Value Infrastructure,2.4938,0
602961,N18000364,NTPC,POWER,3,Mega Capital High-Value Infrastructure,2.0438,0
603293,N18000367,NTPC,POWER,1,Standard Rapid-Execution / Linear Infrastructure,1.3282,0
604791,N16000379,NRL,PETROLEUM & NATURAL GAS,3,Mega Capital High-Value Infrastructure,1.3485,0
604795,N16000434,CPCL,CIVIL AVIATION,3,Mega Capital High-Value Infrastructure,2.5962,0
604833,N16000503,IOCL,PETROLEUM & NATURAL GAS,1,Standard Rapid-Execution / Linear Infrastructure,1.4018,0
604852,N16000506,IOCL,PETROLEUM & NATURAL GAS,1,Standard Rapid-Execution / Linear Infrastructure,0.6587,0
604853,N16000375,IOCL,PETROLEUM & NATURAL GAS,3,Mega Capital High-Value Infrastructure,1.6925,0
604859,N16000396,IOCL,PETROLEUM & NATURAL GAS,3,Mega Capital High-Value Infrastructure,2.0274,0
604863,N16000331,OIL,PETROLEUM & NATURAL GAS,1,Standard Rapid-Execution / Linear Infrastructure,1.657,0
605155,N18000363,CVPPPL,OTHER CENTRAL SECTOR,1,Standard Rapid-Execution / Linear Infrastructure,1.9432,0
605156,N18000326,NHPC,POWER,1,Standard Rapid-Execution / Linear Infrastructure,0.9047,0
605292,N28000142,CPWD EDUCATION,OTHER CENTRAL SECTOR,1,Standard Rapid-Execution / Linear Infrastructure,0.9219,0
606431,N28000140,CPWD EDUCATION,OTHER CENTRAL SECTOR,0,High Administrative Cost-Revision Volatility,1.6654,0
607701,N16000414,IOCL,PETROLEUM & NATURAL GAS,1,Standard Rapid-Execution / Linear Infrastructure,0.5871,0
607709,N18000250,PGCIL,POWER,3,Mega Capital High-Value Infrastructure,1.5684,0
60800,N24001633,NHAI,ROAD TRANSPORT & HIGHWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.8695,0
609019,N28000146,CPWD EDUCATION,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,1.5075,0
609736,N44000002,Sikkim Universi,OTHER CENTRAL SECTOR,1,Standard Rapid-Execution / Linear Infrastructure,0.6712,0
610315,N28000126,CPWD EDUCATION,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.1505,0
610984,N16000445,ONGC,PETROLEUM & NATURAL GAS,1,Standard Rapid-Execution / Linear Infrastructure,0.4083,0
611016,N06000195,BCCL,COAL,0,High Administrative Cost-Revision Volatility,1.0185,0
611017,N06000194,BCCL,COAL,0,High Administrative Cost-Revision Volatility,1.188,0
611047,N04000107,AAI,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,0.584,0
611452,N22000434,WR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,2.4091,0
611586,N18000344,SJVN,POWER,1,Standard Rapid-Execution / Linear Infrastructure,1.633,0
611735,N18000378,PGCIL,POWER,1,Standard Rapid-Execution / Linear Infrastructure,0.7503,0
611752,N22000585,SCR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.5441,0
611849,N22000608,NWR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.7272,0
611861,N22000606,NWR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.5719,0
611884,N22000604,NWR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.8356,0
611917,N16000458,IOCL,PETROLEUM & NATURAL GAS,1,Standard Rapid-Execution / Linear Infrastructure,0.887,0
611943,N22000550,WR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.5512,0
611945,N22000538,WR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.681,0
611947,N18000379,PGCIL,POWER,1,Standard Rapid-Execution / Linear Infrastructure,0.7025,0
611948,N18000374,PGCIL,POWER,1,Standard Rapid-Execution / Linear Infrastructure,1.4033,0
611949,N18000375,PGCIL,POWER,1,Standard Rapid-Execution / Linear Infrastructure,1.2348,0
611951,N18000373,PGCIL,POWER,1,Standard Rapid-Execution / Linear Infrastructure,0.6719,0
611966,N18000377,PGCIL,POWER,1,Standard Rapid-Execution / Linear Infrastructure,1.091,0
611967,N18000380,PGCIL,POWER,1,Standard Rapid-Execution / Linear Infrastructure,0.964,0
611970,N22000540,WR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,0.9649,0
611971,N22000541,WR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.4705,0
612072,N22000532,WR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.2886,0
612096,N22000206,NFR,RAILWAYS,2,Severe Legacy Stagnation & Chronic Slippage,1.9563,0
612781,N12000132,SAIL,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,0.6138,0
612786,N04000106,AAI,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,0.8698,0
612787,N04000108,AAI,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,0.7383,0
612788,N04000105,AAI,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,0.7339,0
612790,N16000509,MANGALORE REFIN,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,0.649,0
612791,N04000109,AAI,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,0.7335,0
612815,N22000573,SECR,RAILWAYS,1,Standard Rapid-Execution / Linear Infrastructure,1.3639,0
612819,N06000269,NLC India Limited [NLCIL],OTHER CENTRAL SECTOR,1,Standard Rapid-Execution / Linear Infrastructure,1.2423,0
612885,N42000001,RITES OF HIGHER,OTHER CENTRAL SECTOR,1,Standard Rapid-Execution / Linear Infrastructure,1.2825,0
612894,N42000011,CPWD,OTHER CENTRAL SECTOR,1,Standard Rapid-Execution / Linear Infrastructure,0.4626,0
613793,N06000191,ECL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.0035,0
613798,N06000123,SECL,COAL,0,High Administrative Cost-Revision Volatility,1.9635,0
613799,N06000135,SECL,COAL,0,High Administrative Cost-Revision Volatility,2.1896,0
613800,N06000232,SECL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.479,0
613801,N06000164,SECL,COAL,0,High Administrative Cost-Revision Volatility,1.6035,0
613802,N06000125,SECL,COAL,0,High Administrative Cost-Revision Volatility,2.1195,0
613803,N06000166,SECL,COAL,0,High Administrative Cost-Revision Volatility,1.1807,0
613804,N06000250,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.7764,0
613808,N06000096,BCCL,COAL,0,High Administrative Cost-Revision Volatility,2.2836,0
615183,N06000208,NCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.809,0
615184,N06000251,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.1419,0
615185,N06000257,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.8737,0
615186,N06000206,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.8932,0
615187,N06000260,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.3677,0
615188,N06000255,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.4971,0
615189,N06000253,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.5069,0
615190,N06000252,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.0343,0
615192,N06000264,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.9966,0
615193,N06000112,MCL,COAL,3,Mega Capital High-Value Infrastructure,2.7398,0
615194,N06000265,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.6083,0
615195,N06000266,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.2826,0
615199,N06000267,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.0991,0
615206,N06000183,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.4113,0
615349,N06000241,CCL,COAL,0,High Administrative Cost-Revision Volatility,1.8256,0
615818,N06000259,SCCL,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,0.9449,0
615822,N06000239,CCL,COAL,0,High Administrative Cost-Revision Volatility,1.912,0
615843,N06000186,CCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.3818,0
615857,N06000203,SCCL,COAL,0,High Administrative Cost-Revision Volatility,1.4183,0
615858,N06000213,SCCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.8927,0
615860,N06000202,SCCL,COAL,0,High Administrative Cost-Revision Volatility,1.394,0
615861,N06000211,SCCL,COAL,0,High Administrative Cost-Revision Volatility,1.3925,0
615862,N06000258,SCCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.9152,0
615863,N06000204,SCCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.5182,0
615865,N06000214,SCCL,COAL,0,High Administrative Cost-Revision Volatility,1.391,0
615914,N06000205,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.4685,0
615918,N06000256,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.6684,0
615982,N06000154,3.5 MTY,COAL,0,High Administrative Cost-Revision Volatility,1.3514,0
616044,N06000179,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.5799,0
616050,N06000226,WCL,COAL,0,High Administrative Cost-Revision Volatility,1.5875,0
616223,N06000219,WCL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.8615,0
616234,N06000045,SECL,COAL,0,High Administrative Cost-Revision Volatility,3.2159,0
616600,N30000027,BUIDCO,COAL,0,High Administrative Cost-Revision Volatility,1.1257,0
616604,N30000042,KMDA,CIVIL AVIATION,0,High Administrative Cost-Revision Volatility,1.7324,0
616611,N30000051,BUIDCO,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.6856,0
616612,N30000050,BUIDCO,COAL,0,High Administrative Cost-Revision Volatility,0.9575,0
616615,N30000026,BUIDCO,CIVIL AVIATION,1,Standard Rapid-Execution / Linear Infrastructure,1.5637,0
616616,N30000035,BUIDCO,COAL,1,Standard Rapid-Execution / Linear Infrastructure,1.2687,0
616858,N16000450,OIL,PETROLEUM & NATURAL GAS,1,Standard Rapid-Execution / Linear Infrastructure,1.2255,0
617253,N12000129,SAIL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.607,0
617254,N12000134,SAIL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.6969,0
617255,N12000131,SAIL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.5197,0
617256,N12000133,SAIL,COAL,1,Standard Rapid-Execution / Linear Infrastructure,0.4575,0
617280,N10000015,Central Public Works Department (CPWD),OTHER CENTRAL SECTOR,0,High Administrative Cost-Revision Volatility,1.6833,0
617302,N16000275,GAIL,PETROLEUM & NATURAL GAS,3,Mega Capital High-Value Infrastructure,1.7358,0
